farm,type,date,count.before,count.after,rel.count,prev.emb,treated.again,day
Swanson Island,slice,2013-01-22,0.966666666666667,0.075,0.0775862068965517,0,0,1117
Swanson Island,slice,2013-11-24,9.125,0.0666666666666667,0.00730593607305936,1,0,1423
Swanson Island,slice,2015-02-15,6.41666666666667,0.308333333333333,0.048051948051948,0,0,1871
Swanson Island,slice,2017-01-17,3.39166666666667,0.1,0.0294840294840295,0,0,2573
Swanson Island,slice,2019-02-24,0.816666666666667,0.0392857142857143,0.0481049562682216,0,0,3341
Wicklow Point,slice,2010-10-05,4.5,0.0333333333333333,0.0074074074074074,0,0,277
Wicklow Point,slice,2012-12-23,5.86666666666667,0.133333333333333,0.0227272727272727,0,0,1087
Wicklow Point,slice,2014-11-12,10.9833333333333,0.0166666666666667,0.00151745068285281,0,0,1776
Wicklow Point,slice,2015-06-29,2.19166666666667,0.383333333333333,0.174904942965779,1,0,2005
Wicklow Point,slice,2017-01-03,3.08333333333333,0.0925925925925926,0.0300300300300301,0,0,2559
Wicklow Point,slice,2017-09-28,2.20833333333333,0.4,0.181132075471698,1,0,2827
Wicklow Point,slice,2019-05-06,2.40769230769231,0.885,0.367571884984025,0,0,3412
Doctor Islets,slice,2021-02-02,1.07222222222222,1.03581967213115,0.966049435148221,0,1,4050
Doctor Islets,hydrolicer,2021-03-22,1.81900183150183,1.00277777777778,0.551279146843876,1,0,4098
Humphrey Rocks,slice,2020-02-01,1.31333333333333,0.127777777777778,0.0972927241962774,0,0,3683
Larsen Island,slice,2021-04-21,0.394999999999999,1.36944444444445,3.46694796061886,0,1,4128
Larsen Island,h2o2,2021-06-09,1.56619981325864,NA,NA,1,0,4177
Midsummer Island,fw,2019-09-22,0.905,2.55555555555556,2.82381829343156,0,1,3551
Midsummer Island,fw,2019-12-15,1.53076923076923,0.546666666666667,0.3571189279732,0,1,3635
Midsummer Island,hydrolicer,2020-01-04,2.55555555555556,0.26875,0.105163043478261,0,1,3655
Midsummer Island,slice,2020-02-03,3.66343406593407,0.30625,0.0835964274197782,0,0,3685
Midsummer Island,hydrolicer,2020-08-07,1.6,NA,NA,1,1,3871
Midsummer Island,slice,2020-08-19,1.6,NA,NA,1,0,3883
Midsummer Island,hydrolicer,2021-08-11,2.73611111111111,0.211111111111111,0.0771573604060913,0,1,4240
Port Elizabeth,slice,2020-03-22,0.681944444444444,0.483333333333333,0.708757637474541,0,0,3733
Port Elizabeth,slice,2021-04-29,0.395,NA,NA,0,1,4136
Port Elizabeth,h2o2,2021-06-18,0.990625,NA,NA,1,0,4186
Sargeaunt Passage,slice,2020-02-01,0.781666666666666,0.0222222222222222,0.0284292821606254,0,0,3683
Swanson Island,slice,2019-09-29,0.805,0.477272727272727,0.592885375494071,1,0,3558
Swanson Island,hydrolicer,2021-07-27,1.32916666666667,1.54918442622951,1.1655306028059,0,1,4225
Upper Retreat,fw,2019-11-06,1.64,NA,NA,0,0,3596
Wicklow Point,slice,2019-09-22,0.885,0.533333333333333,0.602636534839924,1,0,3551
Wicklow Point,fw,2020-08-28,1.18055555555556,3.19356060606061,2.70513368983957,0,0,3892
Wicklow Point,hydrolicer,2020-12-04,3.19356060606061,0.497916666666667,0.15591270311944,0,1,3990
Wicklow Point,slice,2021-02-02,1.68611111111111,0.55,0.326194398682043,0,0,4050
Wicklow Point,fw,2021-07-06,1.64940476190476,3.31666666666667,2.01082641645615,1,1,4204
Wicklow Point,slice,2021-07-13,1.64940476190476,3.31666666666667,2.01082641645615,1,0,4211
Swanson Island,hydrolicer,2021-07-27,1.32916666666667,1.54918442622951,1.1655306028059,0,1,4225
Midsummer Island,hydrolicer,2021-08-11,2.73611111111111,0.211111111111111,0.0771573604060913,0,1,4240
Swanson Island,hydrolicer,2021-09-21,1.59880952380952,0.539583333333333,0.337490692479524,0,1,4281
Midsummer Island,fw,2021-09-30,1.88787190082645,0.213333333333333,0.113002017372017,0,1,4290
Swanson Island,fw,2021-10-09,2.48767857142857,NA,NA,0,1,4299
Midsummer Island,slice,2021-10-14,5.65352642276423,NA,NA,0,1,4304
Midsummer Island,fw,2021-10-19,5.65352642276423,NA,NA,0,0,4309
Swanson Island,slice,2021-10-19,2.48767857142857,NA,NA,0,1,4309
Swanson Island,fw,2021-10-26,2.48767857142857,NA,NA,0,0,4316
Humphrey Rocks,hydrolicer,2021-11-13,0.95625,NA,NA,0,1,4334
Humphrey Rocks,hydrolicer,2021-11-26,0.95625,NA,NA,0,0,4347
