assay.id,petri.id,year,month,company,farm,drug,date,rep,conc,time,stage,sex,prop.alive,prev.emb,live
1,6,2010,09,mowi,Wicklow Point,emb,2010-09-28,1,500,0,both,male,0.2,0,0
1,6,2010,09,mowi,Wicklow Point,emb,2010-09-28,1,500,0,both,male,0.2,0,0
1,6,2010,09,mowi,Wicklow Point,emb,2010-09-28,1,500,0,both,male,0.2,0,0
1,6,2010,09,mowi,Wicklow Point,emb,2010-09-28,1,500,0,both,male,0.2,0,0
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,7,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,0,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,8,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,31.3,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,9,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,62.5,0,both,male,1,0,1
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,1
